country,year,dalys_rate
Czechia,2014,547.8953009045648
Sweden,2013,678.0553532954165
Italy,2012,375.7832389307236
Italy,2013,397.3488186008785
Norway,2013,499.6051486295452
Italy,2014,379.6766391570113
Norway,2014,496.2946522174653
Ukraine,2015,874.8679256381758
Poland,2015,435.73428493852697
Sweden,2014,680.6645819935611
Germany,2016,714.6187837102541
Spain,2016,593.3159807157859
Spain,2015,588.6297455090689
Italy,2015,392.5731666342701
Ukraine,2016,879.9146072120856
Germany,2015,705.8065743479988
Norway,2015,492.7430773226438
Denmark,2015,576.3757415792526
Czechia,2015,531.6068751986313
Czechia,2016,545.7641581608196
Sweden,2015,722.3231153418094
Ukraine,2017,901.1507616767929
Sweden,2016,704.4623259409399
Poland,2016,430.6627337293952
Italy,2016,385.5399888221166
Denmark,2016,563.3824000422121
Czechia,2017,533.3054431699226
Norway,2016,495.9494166974157
Poland,2017,435.1070855041478
Denmark,2017,568.7068215365541
Denmark,2018,579.7972459772914
Germany,2017,715.9004275563535
Spain,2017,633.0407140229104
Norway,2018,502.6290925446698
Spain,2018,629.2331802296862
Sweden,2017,732.8596089012519
Germany,2018,718.4230240953295
Sweden,2018,715.283722751782
Czechia,2018,546.7543229652248
Ukraine,2018,894.6133845376942
Italy,2017,385.1231816521717
Poland,2018,436.58581505306006
Ukraine,2020,1092.224701282151
Ukraine,2019,898.5384252710345
Spain,2019,636.2931727713333
Italy,2018,389.1726308995151
Germany,2019,715.9115780381451
Denmark,2019,568.6976845093473
Germany,2020,857.4511790298528
Spain,2020,779.1250508816423
Norway,2017,499.42379700278485
Sweden,2019,720.5628713662617
Czechia,2019,519.7331727512305
Norway,2019,506.1893466186463
Czechia,2020,637.3347102389855
Denmark,2020,656.5576286522274
Poland,2019,434.5476329587326
Poland,2020,527.5822951830384
Italy,2019,398.9530695120006
Norway,2020,591.5891637111371
Sweden,2020,903.3102033758676
Ukraine,2021,1141.2740235443805
Poland,2021,536.9089240534303
Poland,2022,529.3128292423127
Italy,2020,478.7132115801079
Italy,2021,467.92841196906113
Ukraine,2022,1134.100150793564
Denmark,2021,642.2197611422918
Denmark,2022,646.434051532393
Czechia,2022,619.8146236438334
Norway,2021,601.2522923751139
Germany,2021,858.756474107279
Czechia,2021,686.6841814708797
Spain,2021,802.4209325913333
Sweden,2021,825.2844143751843
Spain,2022,744.773353355674
Italy,2022,473.90181178034567
Germany,2022,811.504446899026
Ukraine,2023,1158.7431628867205
Poland,2023,534.5551444639848
Norway,2022,592.3995425238438
Sweden,2022,881.4785518734681
Italy,2023,473.28211125592
Spain,2023,802.9869953028169
Germany,2023,861.7762792193296
Denmark,2023,685.5801314491281
Norway,2023,608.4396431671897
Czechia,2023,651.0008559963301
Sweden,2023,908.1626937911624
